Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,594.23,745.66,941.67,1240.97,2222,ND,703.66,4536.67,1652.91,2409.39,27994.1,2432.56
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,53186,ND,ND,53186
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,410.35,521.87,599.89,ND,ND,1360,503.31,8670.57,3018.94,1360.76,65390,3738.92
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,461.82,590.87,830.16,541.25,ND,389,592.33,4149.12,2000.37,1767,29435.67,2452.49
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,732716,ND,ND,ND,732716
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,895.26,933.55,1323.04,2128.92,2714.85,3623.54,993.87,157433.43,3175.43,4989.47,78691.31,26099.25
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,418296.5,ND,ND,ND,418296.5
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,601.47,728.96,862.9,610.06,1812.06,2145.5,721.6,21793.34,2226.38,4182.39,27540.93,4261.83
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,771.03,812.23,993.15,1295.8,1882.75,ND,831.5,7044.06,3955.7,6237.54,29870.2,4893.09
ANTIOQUIA,ANDES,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,150441,150441
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,867.07,879.78,865.36,1005.07,416,ND,874.16,36280.15,2315.07,1726.33,42466.33,12136.17
